Date/time UTC,Active energy Wh (C),Returned energy Wh (C)
2022-12-30 00:00,206.6,0.0
2022-12-30 01:00,154.6,0.0
2022-12-30 02:00,177.9,0.0
2022-12-30 03:00,197.4,0.0
2022-12-30 04:00,127.8,0.0
2022-12-30 05:00,1212.1999999999998,0.0
2022-12-30 06:00,3397.5,0.0
2022-12-30 07:00,4729.2,0.0
2022-12-30 08:00,4065.6000000000004,0.0
2022-12-30 09:00,4305.700000000001,0.0
2022-12-30 10:00,4387.8,0.0
2022-12-30 11:00,4986.0,0.0
2022-12-30 12:00,4735.5,0.0
2022-12-30 13:00,3705.9,0.0
2022-12-30 14:00,4014.8,0.0
2022-12-30 15:00,2229.4,0.0
2022-12-30 16:00,799.3000000000001,0.0
2022-12-30 17:00,874.0000000000001,0.0
2022-12-30 18:00,293.70000000000005,0.0
2022-12-30 19:00,195.5,0.0
2022-12-30 20:00,253.8,0.0
2022-12-30 21:00,812.2,0.0
2022-12-30 22:00,223.3,0.0
2022-12-30 23:00,190.60000000000002,0.0
