Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2023-01-28 00:00,40.4,0.0
2023-01-28 01:00,40.4,0.0
2023-01-28 02:00,40.2,0.0
2023-01-28 03:00,40.3,0.0
2023-01-28 04:00,40.5,0.0
2023-01-28 05:00,40.3,0.0
2023-01-28 06:00,41.5,0.0
2023-01-28 07:00,40.4,0.0
2023-01-28 08:00,40.5,0.0
2023-01-28 09:00,40.8,0.0
2023-01-28 10:00,40.8,0.0
2023-01-28 11:00,40.7,0.0
2023-01-28 12:00,40.7,0.0
2023-01-28 13:00,40.7,0.0
2023-01-28 14:00,40.8,0.0
2023-01-28 15:00,41.1,0.0
2023-01-28 16:00,41.3,0.0
2023-01-28 17:00,40.8,0.0
2023-01-28 18:00,40.8,0.0
2023-01-28 19:00,40.8,0.0
2023-01-28 20:00,40.6,0.0
2023-01-28 21:00,40.4,0.0
2023-01-28 22:00,40.6,0.0
2023-01-28 23:00,40.6,0.0
Total,active = 976.0, returned = 0.0
