Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2023-02-22 00:00,42.0,0.0
2023-02-22 01:00,42.0,0.0
2023-02-22 02:00,43.4,0.0
2023-02-22 03:00,42.2,0.0
2023-02-22 04:00,42.1,0.0
2023-02-22 05:00,2352.7,0.0
2023-02-22 06:00,3958.3,0.0
2023-02-22 07:00,4287.2,0.0
2023-02-22 08:00,4370.2,0.0
2023-02-22 09:00,4364.0,0.0
2023-02-22 10:00,4406.5,0.0
2023-02-22 11:00,4447.2,0.0
2023-02-22 12:00,4376.8,0.0
2023-02-22 13:00,4403.5,0.0
2023-02-22 14:00,4240.0,0.0
2023-02-22 15:00,3877.6,0.0
2023-02-22 16:00,2585.8,0.0
2023-02-22 17:00,986.9,0.0
2023-02-22 18:00,90.7,0.0
2023-02-22 19:00,44.2,0.0
2023-02-22 20:00,43.2,0.0
2023-02-22 21:00,43.2,0.0
2023-02-22 22:00,43.2,0.0
2023-02-22 23:00,43.2,0.0
Total,active = 49176.1, returned = 0.0
