Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2022-11-14 00:00,20.3,0.0
2022-11-14 01:00,20.4,0.0
2022-11-14 02:00,20.4,0.0
2022-11-14 03:00,20.4,0.0
2022-11-14 04:00,20.4,0.0
2022-11-14 05:00,20.1,0.0
2022-11-14 06:00,515.9,0.0
2022-11-14 07:00,1109.9,0.0
2022-11-14 08:00,1135.6,0.0
2022-11-14 09:00,1163.0,0.0
2022-11-14 10:00,1150.6,0.0
2022-11-14 11:00,1142.9,0.0
2022-11-14 12:00,1315.8,0.0
2022-11-14 13:00,1198.7,0.0
2022-11-14 14:00,1508.0,0.0
2022-11-14 15:00,977.6,0.0
2022-11-14 16:00,564.0,0.0
2022-11-14 17:00,574.3,0.0
2022-11-14 18:00,579.9,0.0
2022-11-14 19:00,526.7,0.0
2022-11-14 20:00,79.7,0.0
2022-11-14 21:00,79.2,0.0
2022-11-14 22:00,79.7,0.0
2022-11-14 23:00,79.4,0.0
Total,active = 13902.9, returned = 0.0
