Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2023-01-01 00:00,20.8,0.0
2023-01-01 01:00,20.6,0.0
2023-01-01 02:00,20.9,0.0
2023-01-01 03:00,20.6,0.0
2023-01-01 04:00,20.9,0.0
2023-01-01 05:00,21.0,0.0
2023-01-01 06:00,20.4,0.0
2023-01-01 07:00,20.5,0.0
2023-01-01 08:00,20.4,0.0
2023-01-01 09:00,20.4,0.0
2023-01-01 10:00,20.5,0.0
2023-01-01 11:00,20.6,0.0
2023-01-01 12:00,20.8,0.0
2023-01-01 13:00,20.5,0.0
2023-01-01 14:00,20.4,0.0
2023-01-01 15:00,20.4,0.0
2023-01-01 16:00,20.5,0.0
2023-01-01 17:00,20.4,0.0
2023-01-01 18:00,20.5,0.0
2023-01-01 19:00,20.5,0.0
2023-01-01 20:00,20.6,0.0
2023-01-01 21:00,20.6,0.0
2023-01-01 22:00,21.3,0.0
2023-01-01 23:00,21.0,0.0
Total,active = 495.1, returned = 0.0
