Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2022-11-05 00:00,19.7,0.0
2022-11-05 01:00,19.8,0.0
2022-11-05 02:00,20.4,0.0
2022-11-05 03:00,19.9,0.0
2022-11-05 04:00,19.8,0.0
2022-11-05 05:00,19.9,0.0
2022-11-05 06:00,20.0,0.0
2022-11-05 07:00,19.8,0.0
2022-11-05 08:00,19.8,0.0
2022-11-05 09:00,19.4,0.0
2022-11-05 10:00,19.8,0.0
2022-11-05 11:00,19.8,0.0
2022-11-05 12:00,20.1,0.0
2022-11-05 13:00,20.2,0.0
2022-11-05 14:00,19.7,0.0
2022-11-05 15:00,19.7,0.0
2022-11-05 16:00,19.8,0.0
2022-11-05 17:00,19.8,0.0
2022-11-05 18:00,19.8,0.0
2022-11-05 19:00,19.8,0.0
2022-11-05 20:00,19.8,0.0
2022-11-05 21:00,19.5,0.0
2022-11-05 22:00,20.1,0.0
2022-11-05 23:00,20.5,0.0
Total,active = 476.9, returned = 0.0
