Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2023-07-13 00:00,15.0,0.0
2023-07-13 01:00,15.1,0.0
2023-07-13 02:00,15.3,0.0
2023-07-13 03:00,92.7,0.0
2023-07-13 04:00,1452.8,0.0
2023-07-13 05:00,1621.5,0.0
2023-07-13 06:00,1768.8,0.0
2023-07-13 07:00,1737.9,0.0
2023-07-13 08:00,1660.2,0.0
2023-07-13 09:00,1663.7,0.0
2023-07-13 10:00,1168.1,0.0
2023-07-13 11:00,390.8,0.0
2023-07-13 12:00,368.8,0.0
2023-07-13 13:00,331.7,0.0
2023-07-13 14:00,128.0,0.0
2023-07-13 15:00,15.1,0.0
2023-07-13 16:00,15.0,0.0
2023-07-13 17:00,15.0,0.0
2023-07-13 18:00,15.0,0.0
2023-07-13 19:00,15.2,0.0
2023-07-13 20:00,15.0,0.0
2023-07-13 21:00,15.2,0.0
2023-07-13 22:00,15.3,0.0
2023-07-13 23:00,14.9,0.0
Total,active = 12566.1, returned = 0.0
