Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2023-07-11 00:00,65.6,0.0
2023-07-11 01:00,65.4,0.0
2023-07-11 02:00,65.9,0.0
2023-07-11 03:00,67.5,0.0
2023-07-11 04:00,136.2,0.0
2023-07-11 05:00,245.1,0.0
2023-07-11 06:00,415.4,0.0
2023-07-11 07:00,494.8,0.0
2023-07-11 08:00,480.8,0.0
2023-07-11 09:00,447.7,0.0
2023-07-11 10:00,441.6,0.0
2023-07-11 11:00,397.7,0.0
2023-07-11 12:00,425.8,0.0
2023-07-11 13:00,404.6,0.0
2023-07-11 14:00,126.7,0.0
2023-07-11 15:00,46.4,0.0
2023-07-11 16:00,46.2,0.0
2023-07-11 17:00,46.5,0.0
2023-07-11 18:00,46.3,0.0
2023-07-11 19:00,46.2,0.0
2023-07-11 20:00,46.3,0.0
2023-07-11 21:00,46.5,0.0
2023-07-11 22:00,46.4,0.0
2023-07-11 23:00,46.2,0.0
Total,active = 4697.8, returned = 0.0
