Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2022-12-25 00:00,19.8,0.0
2022-12-25 01:00,19.8,0.0
2022-12-25 02:00,19.8,0.0
2022-12-25 03:00,19.7,0.0
2022-12-25 04:00,19.3,0.0
2022-12-25 05:00,19.8,0.0
2022-12-25 06:00,19.4,0.0
2022-12-25 07:00,19.4,0.0
2022-12-25 08:00,20.0,0.0
2022-12-25 09:00,19.8,0.0
2022-12-25 10:00,19.3,0.0
2022-12-25 11:00,19.6,0.0
2022-12-25 12:00,19.6,0.0
2022-12-25 13:00,19.2,0.0
2022-12-25 14:00,19.6,0.0
2022-12-25 15:00,19.3,0.0
2022-12-25 16:00,19.8,0.0
2022-12-25 17:00,19.4,0.0
2022-12-25 18:00,20.3,0.0
2022-12-25 19:00,19.7,0.0
2022-12-25 20:00,19.3,0.0
2022-12-25 21:00,19.8,0.0
2022-12-25 22:00,19.7,0.0
2022-12-25 23:00,19.7,0.0
Total,active = 471.1, returned = 0.0
