Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2023-03-04 00:00,78.3,0.0
2023-03-04 01:00,79.5,0.0
2023-03-04 02:00,78.3,0.0
2023-03-04 03:00,78.2,0.0
2023-03-04 04:00,78.2,0.0
2023-03-04 05:00,78.2,0.0
2023-03-04 06:00,78.1,0.0
2023-03-04 07:00,78.2,0.0
2023-03-04 08:00,79.8,0.0
2023-03-04 09:00,78.5,0.0
2023-03-04 10:00,78.6,0.0
2023-03-04 11:00,78.9,0.0
2023-03-04 12:00,78.4,0.0
2023-03-04 13:00,78.1,0.0
2023-03-04 14:00,78.0,0.0
2023-03-04 15:00,77.8,0.0
2023-03-04 16:00,78.0,0.0
2023-03-04 17:00,78.0,0.0
2023-03-04 18:00,78.0,0.0
2023-03-04 19:00,78.0,0.0
2023-03-04 20:00,78.6,0.0
2023-03-04 21:00,78.3,0.0
2023-03-04 22:00,78.0,0.0
2023-03-04 23:00,78.0,0.0
Total,active = 1880.0, returned = 0.0
