Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2023-08-27 00:00,72.7,0.0
2023-08-27 01:00,72.6,0.0
2023-08-27 02:00,72.6,0.0
2023-08-27 03:00,72.6,0.0
2023-08-27 04:00,72.9,0.0
2023-08-27 05:00,73.2,0.0
2023-08-27 06:00,73.2,0.0
2023-08-27 07:00,73.3,0.0
2023-08-27 08:00,73.3,0.0
2023-08-27 09:00,73.5,0.0
2023-08-27 10:00,73.6,0.0
2023-08-27 11:00,73.4,0.0
2023-08-27 12:00,73.7,0.0
2023-08-27 13:00,73.8,0.0
2023-08-27 14:00,73.8,0.0
2023-08-27 15:00,73.8,0.0
2023-08-27 16:00,73.7,0.0
2023-08-27 17:00,73.3,0.0
2023-08-27 18:00,73.2,0.0
2023-08-27 19:00,73.3,0.0
2023-08-27 20:00,73.2,0.0
2023-08-27 21:00,73.9,0.0
2023-08-27 22:00,73.2,0.0
2023-08-27 23:00,72.8,0.0
Total,active = 1758.6, returned = 0.0
