Date/time UTC,Active energy Wh (C),Returned energy Wh (C)
2023-05-02 23:00,28.1,0.0
2023-05-02 00:00,28.2,0.0
2023-05-02 01:00,27.6,0.0
2023-05-02 02:00,27.7,0.0
2023-05-02 03:00,29.6,0.0
2023-05-02 04:00,3832.3,0.0
2023-05-02 05:00,5240.0,0.0
2023-05-02 06:00,2541.5,0.0
2023-05-02 07:00,2164.3,0.0
2023-05-02 08:00,3472.0,0.0
2023-05-02 09:00,3883.0,0.0
2023-05-02 10:00,3478.0,0.0
2023-05-02 11:00,2363.2,0.0
2023-05-02 12:00,2258.8,0.0
2023-05-02 13:00,1954.4,0.0
2023-05-02 14:00,1749.1,0.0
2023-05-02 15:00,1324.8,0.0
2023-05-02 16:00,482.0,0.0
2023-05-02 17:00,25.8,0.0
2023-05-02 18:00,615.1,0.0
2023-05-02 19:00,162.8,0.0
2023-05-02 20:00,22.8,0.0
2023-05-02 21:00,22.8,0.0
2023-05-02 22:00,22.8,0.0
Total,active = 35756.7, returned = 0.0
