Date/time UTC,Active energy Wh (C),Returned energy Wh (C)
2023-01-15 00:00,1041.7,0.0
2023-01-15 01:00,15.6,0.0
2023-01-15 02:00,15.6,0.0
2023-01-15 03:00,15.6,0.0
2023-01-15 04:00,15.6,0.0
2023-01-15 05:00,15.6,0.0
2023-01-15 06:00,15.5,0.0
2023-01-15 07:00,15.6,0.0
2023-01-15 08:00,15.6,0.0
2023-01-15 09:00,323.9,0.0
2023-01-15 10:00,748.8,0.0
2023-01-15 11:00,15.7,0.0
2023-01-15 12:00,15.9,0.0
2023-01-15 13:00,15.9,0.0
2023-01-15 14:00,15.6,0.0
2023-01-15 15:00,15.6,0.0
2023-01-15 16:00,15.7,0.0
2023-01-15 17:00,15.6,0.0
2023-01-15 18:00,15.6,0.0
2023-01-15 19:00,696.9,0.0
2023-01-15 20:00,390.2,0.0
2023-01-15 21:00,15.6,0.0
2023-01-15 22:00,15.6,0.0
2023-01-15 23:00,15.6,0.0
Total,active = 3498.6, returned = 0.0
