Date/time UTC,Active energy Wh (C),Returned energy Wh (C)
2022-10-14 00:00,10.3,0.0
2022-10-14 01:00,10.4,0.0
2022-10-14 02:00,10.8,0.0
2022-10-14 03:00,956.2,0.0
2022-10-14 04:00,69.1,0.0
2022-10-14 05:00,22.9,0.0
2022-10-14 06:00,14.9,0.0
2022-10-14 07:00,76.5,0.0
2022-10-14 08:00,72.5,0.0
2022-10-14 09:00,996.4,0.0
2022-10-14 10:00,1091.9,0.0
2022-10-14 11:00,25.3,0.0
2022-10-14 12:00,75.1,0.0
2022-10-14 13:00,72.1,0.0
2022-10-14 14:00,70.7,0.0
2022-10-14 15:00,29.6,0.0
2022-10-14 16:00,64.7,0.0
2022-10-14 17:00,815.3,0.0
2022-10-14 18:00,10.8,0.0
2022-10-14 19:00,10.3,0.0
2022-10-14 20:00,10.6,0.0
2022-10-14 21:00,10.5,0.0
2022-10-14 22:00,10.3,0.0
2022-10-14 23:00,10.2,0.0
Total,active = 4547.4, returned = 0.0
