Date/time UTC,Active energy Wh (C),Returned energy Wh (C)
2022-09-26 23:00,9.4,0.0
2022-09-26 00:00,9.0,0.0
2022-09-26 01:00,9.0,0.0
2022-09-26 02:00,9.0,0.0
2022-09-26 03:00,9.1,0.0
2022-09-26 04:00,9.1,0.0
2022-09-26 05:00,23.8,0.0
2022-09-26 06:00,1162.8,0.0
2022-09-26 07:00,52.7,0.0
2022-09-26 08:00,37.1,0.0
2022-09-26 09:00,185.3,0.0
2022-09-26 10:00,1011.8,0.0
2022-09-26 11:00,600.4,0.0
2022-09-26 12:00,49.7,0.0
2022-09-26 13:00,51.8,0.0
2022-09-26 14:00,931.1,0.0
2022-09-26 15:00,60.0,0.0
2022-09-26 16:00,41.2,0.0
2022-09-26 17:00,9.6,0.0
2022-09-26 18:00,9.6,0.0
2022-09-26 19:00,9.6,0.0
2022-09-26 20:00,9.6,0.0
2022-09-26 21:00,9.6,0.0
2022-09-26 22:00,481.2,0.0
Total,active = 4791.5, returned = 0.0
