Date/time UTC,Active energy Wh (C),Returned energy Wh (C)
2022-11-30 23:00,11.9,0.0
2022-11-30 00:00,11.4,0.0
2022-11-30 01:00,11.4,0.0
2022-11-30 02:00,432.1,0.0
2022-11-30 03:00,429.7,0.0
2022-11-30 04:00,11.4,0.0
2022-11-30 05:00,11.9,0.0
2022-11-30 06:00,589.4,0.0
2022-11-30 07:00,1104.2,0.0
2022-11-30 08:00,1091.8,0.0
2022-11-30 09:00,1085.2,0.0
2022-11-30 10:00,2230.1,0.0
2022-11-30 11:00,2246.9,0.0
2022-11-30 12:00,2037.4,0.0
2022-11-30 13:00,1144.9,0.0
2022-11-30 14:00,1396.4,0.0
2022-11-30 15:00,923.7,0.0
2022-11-30 16:00,38.2,0.0
2022-11-30 17:00,13.2,0.0
2022-11-30 18:00,14.8,0.0
2022-11-30 19:00,12.0,0.0
2022-11-30 20:00,11.9,0.0
2022-11-30 21:00,733.2,0.0
2022-11-30 22:00,11.7,0.0
Total,active = 15604.8, returned = 0.0
