Date/time UTC,Active energy Wh (C),Returned energy Wh (C)
2023-03-30 23:00,38.3,0.0
2023-03-30 00:00,1497.9,0.0
2023-03-30 01:00,46.0,0.0
2023-03-30 02:00,39.0,0.0
2023-03-30 03:00,44.7,0.0
2023-03-30 04:00,1978.2,0.0
2023-03-30 05:00,4739.3,0.0
2023-03-30 06:00,4997.0,0.0
2023-03-30 07:00,5469.0,0.0
2023-03-30 08:00,5508.0,0.0
2023-03-30 09:00,7770.0,0.0
2023-03-30 10:00,7064.0,0.0
2023-03-30 11:00,6702.0,0.0
2023-03-30 12:00,4933.3,0.0
2023-03-30 13:00,1987.1,0.0
2023-03-30 14:00,1527.0,0.0
2023-03-30 15:00,38.8,0.0
2023-03-30 16:00,38.6,0.0
2023-03-30 17:00,38.8,0.0
2023-03-30 18:00,38.3,0.0
2023-03-30 19:00,573.9,0.0
2023-03-30 20:00,751.0,0.0
2023-03-30 21:00,38.6,0.0
2023-03-30 22:00,40.0,0.0
Total,active = 55898.8, returned = 0.0
