Date/time UTC,Active energy Wh (B),Returned energy Wh (B)
2023-07-01 00:00,67.1,0.0
2023-07-01 01:00,149.8,0.0
2023-07-01 02:00,143.1,0.0
2023-07-01 03:00,123.9,0.0
2023-07-01 04:00,87.3,0.0
2023-07-01 05:00,146.5,0.0
2023-07-01 06:00,142.4,0.0
2023-07-01 07:00,126.2,0.0
2023-07-01 08:00,83.4,0.0
2023-07-01 09:00,147.0,0.0
2023-07-01 10:00,145.2,0.0
2023-07-01 11:00,144.1,0.0
2023-07-01 12:00,142.5,0.0
2023-07-01 13:00,142.6,0.0
2023-07-01 14:00,142.7,0.0
2023-07-01 15:00,142.8,0.0
2023-07-01 16:00,142.8,0.0
2023-07-01 17:00,65.5,0.0
2023-07-01 18:00,145.8,0.0
2023-07-01 19:00,144.6,0.0
2023-07-01 20:00,143.2,0.0
2023-07-01 21:00,140.1,0.0
2023-07-01 22:00,65.6,0.0
2023-07-01 23:00,150.3,0.0
Total,active = 3074.5, returned = 0.0
