Date/time UTC,Active energy Wh (B),Returned energy Wh (B)
2023-03-15 00:00,173.6,0.0
2023-03-15 01:00,138.4,0.0
2023-03-15 02:00,121.3,0.0
2023-03-15 03:00,169.1,0.0
2023-03-15 04:00,131.8,0.0
2023-03-15 05:00,409.4,0.0
2023-03-15 06:00,280.7,0.0
2023-03-15 07:00,303.8,0.0
2023-03-15 08:00,209.4,0.0
2023-03-15 09:00,424.3,0.0
2023-03-15 10:00,624.6,0.0
2023-03-15 11:00,318.2,0.0
2023-03-15 12:00,255.4,0.0
2023-03-15 13:00,257.8,0.0
2023-03-15 14:00,124.4,0.0
2023-03-15 15:00,246.9,0.0
2023-03-15 16:00,509.0,0.0
2023-03-15 17:00,538.1,0.0
2023-03-15 18:00,221.0,0.0
2023-03-15 19:00,104.8,0.0
2023-03-15 20:00,162.4,0.0
2023-03-15 21:00,123.8,0.0
2023-03-15 22:00,142.7,0.0
2023-03-15 23:00,144.5,0.0
Total,active = 6135.4, returned = 0.0
