Date/time UTC,Active energy Wh (B),Returned energy Wh (B)
2022-09-22 00:00,187.4,0.0
2022-09-22 01:00,156.5,0.0
2022-09-22 02:00,155.6,0.0
2022-09-22 03:00,183.0,0.0
2022-09-22 04:00,136.6,0.0
2022-09-22 05:00,655.9,0.0
2022-09-22 06:00,1282.4,0.0
2022-09-22 07:00,1329.7,0.0
2022-09-22 08:00,779.5,5.9
2022-09-22 09:00,463.0,120.8
2022-09-22 10:00,25.7,174.0
2022-09-22 11:00,536.0,17.4
2022-09-22 12:00,629.7,0.0
2022-09-22 13:00,173.8,332.4
2022-09-22 14:00,188.3,0.0
2022-09-22 15:00,138.6,0.0
2022-09-22 16:00,346.4,0.0
2022-09-22 17:00,285.3,0.0
2022-09-22 18:00,195.6,0.0
2022-09-22 19:00,197.4,0.0
2022-09-22 20:00,117.3,0.0
2022-09-22 21:00,211.6,0.0
2022-09-22 22:00,150.0,0.0
2022-09-22 23:00,158.8,0.0
Total,active = 8684.1, returned = 650.5
