Date/time UTC,Active energy Wh (B),Returned energy Wh (B)
2023-01-02 00:00,112.4,0.0
2023-01-02 01:00,147.5,0.0
2023-01-02 02:00,148.5,0.0
2023-01-02 03:00,106.9,0.0
2023-01-02 04:00,172.0,0.0
2023-01-02 05:00,312.3,0.0
2023-01-02 06:00,1024.5,0.0
2023-01-02 07:00,904.3,0.0
2023-01-02 08:00,863.3,0.0
2023-01-02 09:00,1033.0,0.0
2023-01-02 10:00,1269.1,0.0
2023-01-02 11:00,964.6,0.0
2023-01-02 12:00,993.4,0.0
2023-01-02 13:00,915.9,0.0
2023-01-02 14:00,802.0,0.0
2023-01-02 15:00,119.3,0.0
2023-01-02 16:00,148.5,0.0
2023-01-02 17:00,171.1,0.0
2023-01-02 18:00,97.0,0.0
2023-01-02 19:00,168.9,0.0
2023-01-02 20:00,129.9,0.0
2023-01-02 21:00,135.4,0.0
2023-01-02 22:00,170.7,0.0
2023-01-02 23:00,98.2,0.0
Total,active = 11008.7, returned = 0.0
